number,value,datetime_start,datetime_complete,duration,params_alpha,params_balancing,params_booster,params_colsample_bytree,params_drop_correlated,params_eta,params_eval_metric,params_feature_selection,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_missing,params_num_round,params_number_features,params_objective,params_rate_drop,params_scale_pos_weight,params_single_precision_histogram,params_subsample,params_tree_method,params_verbosity,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.0,2022-10-09 17:19:15.414416,2022-10-09 17:20:07.848600,0 days 00:00:52.434184,0.4069950417348816,no,gbtree,0.5235558126988281,yes,0.20975281800364504,aucpr,BorutaShap,15.4158891446688,23.139894805699342,9,867.5657456630031,no,100,,binary:logistic,,1.0,True,0.5997196524921421,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                                 gpu_id=None,
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=23.139894805699342,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=9,
                                                                 max_leaves=None,
                                                                 min_child_weight=867.5657456630031,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...)))])",no,no,,yes,BorutaShap,no,,retained,no,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
1,0.0,2022-10-09 17:20:08.091820,2022-10-09 17:20:29.037730,0 days 00:00:20.945910,0.2097191997272446,,dart,0.940743126391936,,0.47897098515110076,aucpr,,4.308385300469085,0.37135834488156466,6,0.21449670354029068,yes,100,11.0,binary:logistic,0.00018472239015654827,1.0,True,0.7671489465681628,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=0.37135834488156466,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=6,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.21449670354029068,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=11))])",no,no,,no,FeatureImportance_self,yes,11.0,retained,no,0.3881795295413421,0.6802631578947368,0.5252726201002064,0.5885760900785768,1.0,0.36052631578947364,0.04334828101644245,0.4992175273865415,0.0,-0.00484744015742698,0.0,0.0,COMPLETE
2,0.02586206896551724,2022-10-09 17:20:29.264481,2022-10-09 17:20:51.300381,0 days 00:00:22.035900,0.7514701099359851,,dart,0.6239137083031452,,0.2085683077782582,aucpr,,5.360687038380012,7.012648052527145,1,140.00335949579528,yes,100,25.0,binary:logistic,0.0005270963816109848,22.06896551724138,True,0.9026643068362906,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=7.012648052527145,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=1,
                                                                 max_leaves=None,
                                                                 min_child_weight=140.00335949579528,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=25))])",no,no,,no,FeatureImportance_self,yes,25.0,retained,no,0.04334828101644245,0.5,0.02861230329041488,0.0,0.014947683109118086,0.3333333333333333,0.04334828101644245,0.5,0.02586206896551724,0.0,0.013452914798206277,0.3333333333333333,COMPLETE
3,0.0,2022-10-09 17:20:51.514185,2022-10-09 17:21:12.191245,0 days 00:00:20.677060,30.156894148669036,,dart,0.5047174087390184,,0.12538958318387403,aucpr,,2.4262952483708946,1.1112251157980735,3,6.1171839145171525,yes,100,6.0,binary:logistic,0.03480849467611796,1.0,True,0.7677520188913702,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=1.1112251157980735,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=3,
                                                                 max_leaves=None,
                                                                 min_child_weight=6.1171839145171525,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=6))])",no,no,,no,FeatureImportance_self,yes,6.0,retained,no,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
4,0.08308667554634701,2022-10-09 17:21:12.413542,2022-10-09 17:21:32.597950,0 days 00:00:20.184408,0.42851445007268063,smotetomek,gbtree,0.7477382510969921,no,0.3333630506998422,aucpr,FeatureImportance_ET,8.455197752994394,57.27896760029196,9,724.1546454568894,no,100,15.0,binary:logistic,,22.06896551724138,True,0.5107769921731911,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=57.27896760029196,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=9,
                                                                 max_leaves=None,
                                                                 min_child_weight=724.1546454568894,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=15))])",smotetomek,no,,no,FeatureImportance_ET,no,15.0,retained,no,0.04334828101644245,0.5,0.08309259002876612,0.0,0.04334828101644245,1.0,0.04334828101644245,0.5,0.08308667554634701,0.0,0.04334828101644245,1.0,COMPLETE
5,0.05128205128205127,2022-10-09 17:21:32.820510,2022-10-09 17:21:36.216128,0 days 00:00:03.395618,0.1030407431889518,,gbtree,0.5406852840487013,,0.19971423369623467,aucpr,,0.8762300250998322,2.1608539461440452,10,0.44427501521114154,yes,100,8.0,binary:logistic,,22.06896551724138,True,0.5489109244008293,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=2.1608539461440452,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=10,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.44427501521114154,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=8))])",no,no,,no,FeatureImportance_self,yes,8.0,retained,no,1.0,1.0,1.0,1.0,1.0,1.0,0.051112771964789895,0.5114872342396365,0.05128205128205127,0.031120649542461465,0.08333333333333333,0.037037037037037035,COMPLETE
6,0.0,2022-10-09 17:21:36.460697,2022-10-09 17:21:38.736355,0 days 00:00:02.275658,19.168556959541384,,gbtree,0.6436794500808801,,0.22846864203029463,aucpr,,7.836497181885325,191.58338204232714,4,95.97181607200149,yes,100,5.0,binary:logistic,,1.0,True,0.7751063356012957,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=191.58338204232714,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=4,
                                                                 max_leaves=None,
                                                                 min_child_weight=95.97181607200149,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=5))])",no,no,,no,FeatureImportance_self,yes,5.0,retained,no,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
7,0.11299914764960357,2022-10-09 17:21:38.952468,2022-10-09 17:22:02.986985,0 days 00:00:24.034517,1.5157636747060201,smotetomek,dart,0.7924870258411902,no,0.2355370907113342,aucpr,FeatureImportance_ET,1.7538443855938741,1.0149396037712162,2,0.9811254362446306,no,100,27.0,binary:logistic,0.00012135371798270756,22.06896551724138,True,0.5085858024972585,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=1.0149396037712162,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=2,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.9811254362446306,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=27))])",smotetomek,no,,no,FeatureImportance_ET,no,27.0,retained,no,0.3422918645140867,0.9500207071206841,0.4996825396825397,0.5495979886636545,0.3422918645140867,1.0,0.05164109978011323,0.5576470244102204,0.11299914764960357,0.06201112763821493,0.07107464607464607,0.27777777777777773,COMPLETE
8,0.07947639083683965,2022-10-09 17:22:03.216325,2022-10-09 17:22:25.157273,0 days 00:00:21.940948,0.14074351822700348,,dart,0.8918098657195069,,0.27911841835068185,aucpr,,9.787293582529996,4.258873073898621,1,14.217269734242096,yes,100,19.0,binary:logistic,0.0031779503172128533,22.06896551724138,True,0.7819107174529907,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=4.258873073898621,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=1,
                                                                 max_leaves=None,
                                                                 min_child_weight=14.217269734242096,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=19))])",no,no,,no,FeatureImportance_self,yes,19.0,retained,no,0.5436507936507936,0.979685031866976,0.6993760415455567,0.7198543801350725,0.5436507936507936,1.0,0.050707687927418865,0.5000424144033464,0.07947639083683965,0.016634078852118674,0.06715506715506715,0.10000000000000002,COMPLETE
9,0.06977687626774848,2022-10-09 17:22:25.377701,2022-10-09 17:22:53.858292,0 days 00:00:28.480591,0.2763453112690112,smotetomek,gbtree,0.7180702563451816,yes,0.25491475264799873,aucpr,FeatureImportance_ET,0.13037466008513623,8.944146859388747,2,7.154277522098067,no,100,16.0,binary:logistic,,22.06896551724138,True,0.870417216576679,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=8.944146859388747,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=2,
                                                                 max_leaves=None,
                                                                 min_child_weight=7.154277522098067,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=16))])",smotetomek,no,,yes,FeatureImportance_ET,no,16.0,retained,no,0.29132929081607634,0.9425872172928281,0.44890457643622206,0.5065304067964846,0.29132929081607634,1.0,0.04470111602229981,0.5030986890536712,0.06977687626774848,0.0032238191849122736,0.04483643050716221,0.17037037037037037,COMPLETE
